TaskID,TaskAO,StationID,Team,Start,End,Duration
221,BMYY00-0420,5,"[29, 42]",103.70784308677038,106.39222616194306,2.6843830751726756
213,DFZY00-3090,4,"[87, 53]",103.70784308677038,104.40570991466865,0.6978668278982667
200,DFQJB2-0400,1,"[13, 66]",103.70784308677038,104.42610688556051,0.718263798790133
197,DFQJB2-0370,5,"[5, 15]",103.70784308677038,104.38600789987976,0.678164813109376
199,DFQJB2-0390,3,"[81, 70]",103.70784308677038,104.39140492259611,0.6835618358257278
223,DMZY00-0760,1,"[27, 40]",103.70784308677038,105.18542060023232,1.477577513461938
194,DFQJB1-0340,5,"[4, 15]",104.38600789987976,105.56168895204156,1.1756810521618064
224,DMYY00-0770,4,"[18, 19]",103.70784308677038,105.0194491793165,1.3116060925461142
203,DFZY00-0430,4,"[53, 19]",105.0194491793165,106.2909709111587,1.2715217318421992
202,DFQJC2-0420,3,"[71, 21]",103.70784308677038,105.2316088983954,1.5237658116250117
198,DFQJB2-0380,2,"[77, 59]",103.70784308677038,104.47091799426626,0.7630749074958771
226,AYQJ00-0130,1,"[66, 38]",104.42610688556051,147.31407078379934,42.88796389823882
227,AYQJ00-0140,3,"[21, 70]",105.2316088983954,125.69434901153521,20.462740113139816
195,DFQJB1-0350,5,"[15, 5]",105.56168895204156,106.62737655674586,1.0656876047042942
209,BMZG00-0020,5,"[15, 4]",106.62737655674586,107.37553719734633,0.7481606406004744
210,BMYY00-0030,2,"[33, 47]",103.70784308677038,106.43578354499715,2.727940458226769
201,DFQJC1-0410,2,"[47, 33]",106.43578354499715,108.25441043685306,1.8186268918559136
225,FMQJ00-2540,3,"[70, 21]",125.69434901153521,128.9729096208674,3.278560609332189
217,DFYY00-3120,4,"[32, 53]",106.2909709111587,106.92534682555396,0.6343759143952639
222,BMYY00-0430,2,"[47, 77]",108.25441043685306,110.82782808772302,2.573417650869956
214,DFZY00-3100,5,"[4, 29]",107.37553719734633,108.08927318063832,0.7137359832919827
207,DFZG00-0470,5,"[0, 5]",106.62737655674586,108.24466496584141,1.6172884090955506
204,DFZY00-0440,3,"[71, 65]",105.2316088983954,106.59836634962491,1.3667574512295175
196,DFQJB1-0360,5,"[4, 78]",108.08927318063832,109.18189247618851,1.0926192955501932
220,BMZY00-0410,3,"[91, 71]",106.59836634962491,108.96697961566886,2.368613266043951
205,DFYY00-0450,5,"[78, 4]",109.18189247618851,110.47316975012365,1.2912772739351368
212,BMZY00-0130,3,"[70, 91]",128.9729096208674,143.14052094621297,14.167611325345575
219,BMZY00-0400,2,"[33, 77]",110.82782808772302,113.55412073436652,2.7262926466435005
211,BMYY00-0121,5,"[78, 5]",110.47316975012365,123.88717340175654,13.414003651632896
206,DFYY00-0460,3,"[71, 70]",143.14052094621297,144.53604461350776,1.395523667294782
216,DFYY00-3110,3,"[35, 71]",144.53604461350776,145.1835678000502,0.6475231865424576
208,DFQS00-0480,4,"[87, 32]",106.92534682555396,107.91061303510205,0.9852662095480866
215,BMZY00-0300,5,"[5, 0]",123.88717340175654,124.89797864237909,1.0108052406225454
